"Horodateur","J'accepte de répondre à ce questionnaire et que les données soient utilisées de manière anonyme.","Sexe","Tranche d'âge en année","Fonction en structure d'urgence","Depuis le début de votre carrière, depuis combien d'années participez-vous à la médecine d'urgence ? (Pour les médecins : internat compris) ","Type de structure","Postes exercés","Selon vous, quelles seraient les conditions idéales de cadre professionnel pour exercer la médecine d'urgence de manière optimale ? ","Comment définiriez-vous une structure d'urgence idéale?","Comment définiriez-vous un service d'urgence idéal?","Comment définiriez-vous un SAMU-SAS idéal?","Comment définiriez-vous un SMUR idéal?","Comment définiriez-vous le lieu de travail idéal en médecine d'urgence ?","Comment définiriez-vous le nombre d'heures de travail par semaine idéal en médecine d'urgence ?","Comment définiriez-vous le nombre de postes de nuit par semaine idéal en médecine d'urgence ?","Comment définiriez-vous la médecine d'urgence idéale, en terme de type de patients ?","Comment définiriez-vous la médecine d'urgence idéale, en terme de type de soins?","Comment définiriez-vous une situation d'urgence ?","Comment définiriez-vous une situation non urgente ?","Comment définiriez-vous une situation non programmée ?","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception actuelle de la spécialité Médecine d'Urgence (part de l’urgence réelle, relation avec la médecine de ville, relation avec les autres spécialités)?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception future de la spécialité Médecine d'Urgence (part de l’urgence réelle, relation avec la médecine de ville, relation avec les autres spécialités)?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception actuelle sur l'exercice  (horaires, qualité de vie au travail, ambiance) de la médecine d'urgence ?]","Sur une échelle de 0 (médiocre) à 10 (excellent) [Quelle est votre perception future sur l'exercice (horaires, qualité de vie au travail, ambiance) de la médecine d'urgence ? ]","Commentaire libre"
"2025/10/11 6:49:25 PM UTC+1","Oui","Homme","20-30 ans","Interne de médecine d'urgence","2","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","D'être en nombre, d'être reposé, d'avoir un meilleur filtre d'entré","Moyenne nécessaire à disposition, lumière du jours, pauses obligatoire si pas d'urgence vitale","Bonne entente med paramed, en nombre, entraidant","-a","Bonne communication, décision pluridisciplinaire, partage expérience ","Endroit où la confiance et la parole sont en premier lieu","36h en 24h + 12h ou 3* 12h","2 max sans que ce soit 2 24h","Patiente nécessitant au minima des soins semi urgent","Soins nécessitant du techniquage, de la réflexion, des avis d'experts","Atteinte physique ou mental dans les 48h si rien n'est fait","Satisfaction du patient à vouloir avoir une réponse, qui peut attendre ","Aggravation non attendue","2","1","4","7","Que les choses changent"
"2025/10/17 3:50:07 PM UTC+1","Oui","Homme","20-30 ans","Praticien non chef de service","6","Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Identique à actuellement pour mon CH (diversité des postes, des pathologies, des patients, filières, temps de travail, rémunération) mais avec plus de moyens humains pour soulager de la pression du flux ","Établissement pouvant fournir des soins adaptés à sa population en ayant une gestion durable de ses moyens (humains et non), avec une fluidité dans les échanges urgences/service, pas de carence de lit d'aval","Des prises en charges adaptées aux recos, de l'enseignement pour internes, sans carence de lit ni délai d'attente importants, une bienveillance des soignants, et des administratifs à l'égard de soignants ","Espace large, confortable, bonne sonorisation, couplée au sdis pour échange d'informations, matériel et logiciel performant, sans surcharge de demande ","Unité intervenant après régulation avec une plus value sur le terrain en terme logistique, médicale ou organisationnelle, pour des situations critiques ou complexes, avec possibilité de debrief et de formation ","Assez d'espace, propre, avec matériel adapté et fonctionnel (ou avec assistance permanente possible, ordi, imprimantes), bien organisé ","Pour un 100% un 42h clinique et 6h extra clinique ","1 à 2","Patients aux pathologies variées, polis, venant pour motifs majoritairement justifiés","Soins variés avec des cas graves fréquents, des gestes réguliers, et un confort de travail dans le logiciel, les hospitalisations, les demandes d'examens etc ","Pouvant engager à court terme le pronostic vital ou fonctionnel d'un organe","Cas sans bénéfice à une prise en charge immédiate ou pouvant être repoussée de 48h sans grande modification de prise en charge ni d'état du patient ",".","6","5","7","6",""
"2025/10/20 1:15:22 PM UTC+1","Oui","Femme","30-40 ans","Praticien non chef de service","10","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Exercice en 12h - 39h hebdomadaire max - CHU - moins de week-ends","en CHU - lits d’aval disponibles - médecine générale libérale disponible en amont - sectorisée","Idem","Personnel suffisant - appels catégorisés et redistribués correctement en urgences ou conseil médical de médecine générale - ne plus palier au manque de médecins généralistes libéraux ","Trinômes médecin-ide-ade / renforts pediatriques disponibles - smur psychiatrique à part avec personnel médical et paramédical spécialisé dédié ","Pas de réponse ","Max 39h","Max 1","Pas de patients nécessitant une simple consultation de médecine générale","Pas de réponse ","Qui doit être prise en charge dans les 12h","Au delà de 12h","D’apparition récente nécessitant une prise en charge rapide ","4","3","4","3",""
"2025/10/27 8:48:45 PM UTC+1","Oui","Homme","30-40 ans","Ambulancier diplômé d'état","12","Centre Hospitalier Universitaire","SMUR","Reconnaissance des spécialités des différentes professions, mise en place de protocoles ","Locaux modernes et adaptés avec un nombre de soignants suffisant en fonction du nombre de passage. ","Locaux modernes et adaptés avec un nombre de soignants suffisant en fonction du nombre de passage. ","Locaux modernes et matériel adapté, dimensionnés en fonction de la charge de travail, nombre de personnes suffisant. Prise en compte de la QVT. ","Locaux modernes et adaptés. Véhicules récents et sécuritaires. Matériel embarqué adapté (dont échographe, biologie délocalisée...). Implication des paramédicaux, QVT, simulation et entraînements en équipe réguliers. ","Extra hospitalier et CH/CHU","35","2","Tout type de patients ","Tout type de soins urgents ","Dégradation rapide de l'état de santé du patient en l'absence de soins immédiats","Soins nécessaires mais pouvant être réalisés de manière non immédiate sans impact négatif sur l'état de santé du patient. ","Besoin de soins non prévisibles et sans accès direct à un professionnel de santé ","7","9","7","9",""
"2025/11/06 8:39:13 PM UTC+1","Oui","Femme","30-40 ans","Hospitalo-universitaire de médecine d'urgence (CCA, MCA, MCU, PA, PU)","5","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Locaux adaptés, assez de monde sur le planning, locaux accueillant, salle de pause adaptée, temps de pause dédié sur la garde, logiciel et matériel adapté ","Fonctionnement fluide avec lits d'amont, pas de nécessité de faire valider des hospit par des spe, un hôpital organisé autour des urgences et non l'inverse ","Cf supra","Davatange de médecin régulateur Hospitalier, un fonctionnement avec médecins libéraux en 24/24","Pas d'idee","Nsp","35h comme n'importe quel fonctionnaire sauf qu'on fait en plus du travail de nuit","1 a 2","On ne choisit pas ses patients à part quand on bosse en clinique... ","Soins urgents uniquement, pas de soins pour avancer les spécialistes sous prétexte qu'on fonctionne en 24/24","Une urgence vitale ","Une situation qui peut attendre au moins  24h ","Une intervention non urgente mais handicapante","4","2","3","2","Pas très optimiste sur la suite et c'est assez triste car je suis seulement en début de carrière. De toute manière à part repenser complètement la façon de fonctionner des Hôpitaux en mettant les urgences au centre de la réflexion, toutes les autres solution ne seront que des rustines pour éviter une catastrophe. "
"2025/11/06 8:49:50 PM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","5","Clinique privée à but lucratif","Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Temps partagé urgence smur avec activité médicale autre comme médecine du sport ","Plateau technique complet avec cardio réa chir radio bio ","Effectif complet/ locaux adaptés ","Effectifs complet ","Écho helico","Proche du domicile ","2fois12","1max","Tout venant avec pathologie aiguë ","Toutes pathologies aiguës ","Pathologie urgente aiguë (fonctionelle ou vitale)","Pathologie sans conséquence au long terme si non pris en charge en urgence","Non urgente vitale ","1","1","1","1",""
"2025/11/06 9:35:09 PM UTC+1","Oui","Homme","20-30 ans","Aide Soignant","5","Centre Hospitalier Général","Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales","Locaux neuf ou rénover , des secteurs bien défini , avoir de la place , matériel adéquat en bonne quantité, accès à la lumière extérieure dans toute les zones . ","Des zone des travail bien défini et organisé de l’entrée, des salle d’évaluation aux zones d’attentes et salle de soins. Des réserves centrale et stratégiquement implanté dans le service, des zone des stockage de matériel . Des salle de pause adéquat à l’échelle du service. ","De la place une bonne organisation et un effectif en personnel suffisant. Du matériel et l’accès à des formations facilement. Et des place d’hospitalisation fluide. ","Bon matériel , logiciel , formation. Effectif convenable zone de travail agréable ","Matériel et véhicules neuf , effectif adéquat au intervention, formation . Locaux grand et fonctionnel. ","Bonne organisation des zone de travail , personnel en effectif, un trie optimal. ","4 joies en 12h max par semaine ","4 max","Moins des gestion des problèmes sociaux. Plus gère les fasse aiguë de psychiatrie et d’addictologie. 
Moins d’attente pour moins de réflexion et d’explications à donner ","Plus de personnel dans chaque secteur un travail en binôme pour chaque patient. Une bonne formation et plus régulière . Moins d’attente pour les examens complémentaires ou avis spécialisé. ","Urgence vitale , pronostic engagé, besoin d’un plateaux techniques rapides , risque de décompensation rapides","besoin d’un avis spécialisé d’examens complémentaires, d’exploration d’une pathologie ou de symptômes, traumatologie symbole , hospitalisation , surveillance, suivie , remise en forme ","Limite de prisse en charge en médecine générale et de prise en soins à domicile . Besoin d’avis et d’examens complémentaires et de suivis plus accrue ","6","5","5","4",""
"2025/11/06 9:51:19 PM UTC+1","Oui","Femme","40-50 ans","Praticien non chef de service","18","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Qu’il n’y est plus de patient brancard qui nous obligent à faire la visite à chaque transmission et cela nous permettrait de nous recentrer sur l’urgence vitale","Une structure où on hospitalise dans un service adapté à chaque besoin comme en 2013, où toutes les antennes smur sont toujours ouvertes ,où on ne gère plus de procédure dégradée en régulation ","Assez de personnel paramédical et médical pour gérer tous es patients présents , plus de patients brancard, des filières urgences -spécialistes fluides et avec des places d’hospit  réservé pour les urgences , de sorties de patients dès le matin et jusqu’à 22h afin de permettre que tous les patients puissent monter et ne stagnent plus dans les urgences ","Une régulation  fluide , une gestion de l’urgence par la médecine d’urgence et de la med ge par les med ge en nombre et avec une PDS toujours complète ","Un équipe complète ( med/ide/ambulncier ) pour chaque urgence vitale sans faire de hors secteur car la structure est fermée faute de medecin","La roche sur Yon super ambiance une équipe dynamique et sympa et pas de personnes toxiques dans l’équipe ","39h pour un temps plein ( tnc compris )","Autant de poste de jour comme de nuit et le we …. L’urgence ne s’arrête plus ","Je sais pas … gérer que des patients qui relèvent vraiment d’un service d’urgence ","Pas de réponse ","Une situation qui ne peut pas attendre , qui ne peut pas être temporiser sans risquer d’entre délétère pour le patient ","Une situation reporta le au lendemain ","Inopinée / non attendu / non prévu ","1","1","3","3",""
"2025/11/06 9:56:15 PM UTC+1","Oui","Femme","30-40 ans","Praticien non chef de service","12","Centre Hospitalier Universitaire;Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Dès lits d’aval et un effectif médical correct ","Un vrai tri à l’accueil , une vraie salle d attente avec renseignements et écran / tv ","Un service uni et bienveillant ","Une régulation honnête et un contrat avec les patients si à l’arrivée aux Urg les patients partent car temps d attente long trajet facturé . ","Un Smur avec VL / UMH , du matériel adapté , des simulations tous les mois ","Un dechocage avec vu sur les patients des renvois de scope une vraie salle de repos pour tous le personnel ","39 ","Un ","Des vraies urgences vitales / de la traumatologie / activité mixte adulte et pédiatrie ","Soins d urgences / plâtre / suture ","Pathologie mettent en jeu le pronostic vital ( chocs / AAG / ACR / SCA ST + et équivalent / troubles du rythme \ péricardite / pneumothorax ) 
Colique néphrétique hyperalgique 
Fracture / luxation déplacée avec soufffanxd 
Plaies délabrantes ","Infection urinaire / rhinite / syndrome grippal / entorse depuis deux jours ","Entorse / fracture non déplacée / crise d’asthme légère / syndrome grippal ","4","4","3","4","On ne peut que s’améliorer "
"2025/11/07 12:38:49 AM UTC+1","Oui","Femme","20-30 ans","Hospitalo-universitaire de médecine d'urgence (CCA, MCA, MCU, PA, PU)","1","Centre Hospitalier Universitaire","SAMU-SAS;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales","Une structure bien équipée, dotée de matériel adapté, d’un personnel médical et paramédical bien formé, encadré et organisé selon des protocoles clairs","Une structure facilement accessible, bien équipée, fonctionnelle, avec un personnel formé et un encadrement médical compétent assurant une prise en charge rapide et coordonnée.","Un service assurant la continuité des soins selon des protocoles validés et des algorithmes de prise en charge, garantissant la sécurité et la qualité des soins.","Une structure capable de réguler et de prendre en charge aussi bien les urgences vitales que les urgences mineures, selon les protocoles et les précautions en vigueur.
","Une unité mobile permettant un diagnostic initial, une stabilisation du patient et une prise en charge adaptée jusqu’à son transfert vers une structure appropriée.
","Un environnement collaboratif où médecins, infirmiers et tout le corps médical travaillent en synergie pour une prise en charge précoce, globale et efficace du patient.
","Entre 48 et 72 heures, selon la charge de travail et l’organisation du service.
Un poste de nuit par semaine pour garantir un bon équilibre entre performance professionnelle et récupération.
","Un poste de nuit par semaine pour garantir un bon équilibre entre performance professionnelle et récupération.
","Une spécialité prenant en charge tout patient présentant une détresse vitale ou fonctionnelle, quelle qu’en soit la cause.
","Des soins dispensés par une équipe formée, avec du matériel prêt, des précautions respectées et des protocoles strictement appliqués.","Toute situation mettant en jeu le pronostic vital ou fonctionnel du patient.
","Situation où le pronostic vital et fonctionnel n’est pas engagé.
","Situation imprévisible, ne relevant pas d’une planification préalable, et nécessitant une évaluation rapide pour orienter la prise en charge.","6","7","4","6",""
"2025/11/07 1:05:15 PM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","8","Centre Hospitalier Général","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Un hôpital ou les urgences sont une priorité pour la direction hospitalière/ ARS. Des moyen humains, financier et structures adaptés ",".","Un service avec une bonne entente des équipes, avec une bonne gestion des flux, des lits d'aval et de la chirurgie urgente disponible, de la formation continue, un logiciel pratique / tâche administratives faite pas des secrétaires et les médecins avec plus de temps au lit du patient ","Un ratio appel / médecin convenable, une ergonomie informatique et des bureaux pour ne pas rester derrière l'écran toute la journée ","Une équipe préparée, bien véhiculée, formée, soudée et bien régulé ","Des locaux propres, qui sent bon (ou rien), grand,  pas stérile et sans décoration, vivant et avec de bonnes ondes positives, belles lumières, des plantes. Des flux gérés pour que enfant, petite traumato déchoc etc ne se croisent pas. Les personnes âgées chouchoutés, nursing, massage, aide à la marche, repères temporels.","39h c'est bien si c'est varié comme potes. Pas 39h que de box..","4 max par mois","Peut importe on répond à toutes les questions urgentes. Les patients non urgents gérés par les médecins traitants, les inquiétudes par les maison médicales / télé consultation et l'urgence par les urgences.","Des soins polyvalent, médicaux chirurgicaux ","Une situation où une décision rapide doit être prise avec un enjeu vital pour le patient ","Pas de risques vital engagé imminent ","Toute pathologie ou complications non prévues dans l'évolution classique nécessitant une prise en charge rapide ne pouvant pas être organisée dans plusieurs jours ","7","6","7","7","Super métier passionnant d'un point de vue médical et humain, je ne changerai pour rien d'autre même si la charge d'énergie, émotionnellement et responsabilité que ça représente, on est bien mal payé à côté d'un dentiste ou chirurgien esthétique..
La médecine de ville étant de plus en plus sous peuplée par les MG, les consultations de villes arrivent de plus en plus aux urgences, les patients n'ayant pas d'autre recours. Les nuits donc plus difficile et 35 ans de carrière à faire des garde de l'enfer n'augure pas une bonne santé mentale et physique en fin de carrière.
"
"2025/11/07 1:35:17 PM UTC+1","Oui","Femme","40-50 ans","Infirmier diplômé d'état","0","Centre Hospitalier Universitaire","Urgences","Protocoles cadrés, formations spécifiques, et régulières (remise à niveau et à jour sur différents sujet), personnel suffisant, matériel (present, recent et en fonctionnement), confiance, accessible à tous les personnels, séparer les urgences vitales et les urgences relatives","Accueil de vraies urgences vitales et pas de tout venant parce que manque de médecin de ville","Competent, en nombre, bien équipé et bien formé. ","Omniscient ","Avec moi dans l equipe 😁","Confiance, formation, competence, équipe en nombre, matériel idem","36 avec roulement et suffisamment de personnel. Le repos est primordial pour etre efficace lors de son shift","Tout dépend de la taille de la structure, des capacités d accueil, des événements locales, du secteur....","Urgences vitales, polytraumatises","Soins d urgence (massage, hémorragie, fracture, crane, pansement  injection, mobilisation, stabilité, lieux complexe,...)","Urgences vitales ou a risque vitales suivant les conditions, le lieux, les prévisions, etc","Pas d atteinte vitales, pouvant être traitée avec patience ou temporisé par traitement. ","Serendipité","3","3","5","5","Jeune diplômée infirmière nouvellement aux urgences et avec vision d expérience 16 ans  pompier, "
"2025/11/12 5:13:05 PM UTC+1","Non","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/11/12 5:13:23 PM UTC+1","Non","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/11/12 6:59:35 PM UTC+1","Oui","Femme","50-60 ans","Infirmier diplômé d'état","27","Centre Hospitalier Général","SMUR;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Avoir un SAU plus adapté à l'activité actuelle : locaux supplémentaires et moins vétustes, plus de matériel fonctionnel et récent et des équipes soignantes plus étouffées et moins essoufflées. ","Non conforme à l'activité et à la sécurité des soins et des personnes ","Un service aux espaces propres, spacieux, agréables et modulables en fonction de l'activité et des motifs d'entrée. Respectant la confidentialité. Déco plus chaleureuse et accueillante pour tous.","Qu'il puisse permettre aux équipes un maintien de compétences tout en facilitant l'alternance des activités différentes et complémentaires. ","Une équipe soudée et compétente. Un véhicule fiable et armé en matériel pertinent avec les justes quantités nécessaires aux PEC des urgences vitales, accouchements , brûlures, traumatismes graves et Demage Contrôle. ","Un secteur adapté au PEC de longues durées :boxes suffisants en nombre, confidentiels et confortables pour les usagers et les accompagnants. Matériel efficient pour les soignants ","Plus allégé que toutes les heures supplémentaires faites actuellement ","Moins de nuits que de journées travaillées. En alternance jour /nuit en 12h00 actuellement, les ide font plus de gardes de nuit que de jour au CH de Pont l'Abbé ","Se concentrer essentiellement sur les urgences, faciliter la réorientation en médecine générale si nécessaire et augmenter le nombre d'entrées directes dans les services d'hospitalisation dédiés au motif d'entrée ","Rester sur les soins de 1ère intention et passer le relais aux équipes d'hospitalisation pour les soins complémentaires pour limiter le temps de séjour aux urgences. ","Risque vital immédiat ou instabilité de l'état de santé de la personne engendrant des complications graves réversibles ou non. AMU nécessaire ","État de santé ne nécessitant pas une PEC médicalisée dans les 24 h. Sans risque vital. Symptômes datant de plusieurs jours voir mois ","Demande d'avis médical ne nécessitant pas un accès à un SAU,ni l' AMU","1","2","2","2","Mon activité professionnelle actuellement est épuisante et se centre essentiellement sur des soins non urgents mais chronophages (faute de lits d'hospitalisation, personnes âgées ++et des examens et analyses prescrits coûteux en énergie et en argent "
"2025/11/12 10:54:08 PM UTC+1","Oui","Homme","30-40 ans","Infirmier diplômé d'état","6","Centre Hospitalier Universitaire","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD;Ioa","Avoir du personnel adapté au flux, avoir des lits d’aval, avoir des agents de sécurité à l’accueil. ","Une structure capable d’absorber le flux sans en pâtir sur la santé des soignants. ","Une structure capable d’absorber le flux sans en pâtir sur la santé des soignants. L","Non concerné ","Le smur actuel me
Convient. ","Un hôpital avec des couloirs large pour le brancardage, suffisamment de box et de personnel pour absorber le flux, des temps de pauses sur les gardes de 12h pour pouvoir souffler. ","35","Au choix du professionnel mais que si le professionnel choisit de faire des nuits qu’il soit dédommagé en conséquences (préjudice sur la santé à long terme, gestion du quotidien…) ","Variée et pokypathologique le but c’est d’accueillir tout le monde. ","Service exigent en terme de connaissances générales et technicité. ","Situation où l’on doit réagir rapidement ","Situation qui peut t’être traiter avec une temporalité non immédiate. ","Situation à gérer sans urgence ","3","3","2","1",""
"2025/11/13 1:12:00 AM UTC+1","Oui","Femme","30-40 ans","Praticien non chef de service","6","Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Avoir le temps avec chaque patient, ","Fluide, aval suffisant pour accueil les patients
Filiarisé","Accueil uniquement des urgences, ","Temps de décroché court, solution multiples et orientation adaptée au patient","Urgence vitale uniquement avec filière d'accueil unique","Nsp","38h","<1","Urgences vitales
Filière traumatologique","Soins initiaux de diagnostic puis orientation rapide vers les filieres","Problème menanceant la survie immédiate d'un patient reanimatoire ","Problématique non grave relevant de soins non programmé et sans besoin d'un plateau technique en urgence","Soins a réaliser dans les 48h","1","0","2","1",""
"2025/11/13 7:08:11 AM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","9","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Respect du temps de travail, matériel adéquat fourni, bienveillance de l'hôpital envers tous son personnel, éducation à la sante pour limiter les appels au SAS","Qui paye sans escroquer des heures ou des gardes, qui fourni le matériel nécessaire à la PEC des patients et qui maltraite ni le personnel ni les patients par manque de lit ouvert","Des lits d'aval","Avec des médecins généralistes qui prennent leur garde","Un hélicoptère qui donne pas la nausee","Une salle de sport pour fédérer les équipes comme chez les pompiers ","35","1","Des gens ayant la chance d'avoir une éducation à la santé ","Tous","Mise en jeu du pronostic vital ou foncrionnel","Ressenti urgent du patient par manque d'éducation ","Urgence","2","1","2","1",""
"2025/11/13 11:45:36 AM UTC+1","Oui","Homme","20-30 ans","Infirmier diplômé d'état","1","Clinique privée à but lucratif","Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Matériels de pointe, formation continue de qualité, formation spécifique sur la médecine d'urgence/soins critiques, communication de qualité dans l'équipe, bonne ambiance, échange avec les médecins pour un vrai travail en équipe sans sentiment de supériorité","Structure dans laquel les urgences ne sont pas la porte d'entré des services conventionnelle (faire venir de l'extérieur un patient pour une consultation de spécialistes au SAU) mais bien un service à part entière où l'équipe des urgences décide avec avis de spécialistes (quand nécessaire) du devenir de l'usager. Au vu du nombre de passage ainsi que de la charge importante de travail, la structure devrait mettre en place un certains nombres de messire en place pour fluidifier le circuit patient (imagerie, hospitalisation depuis les urgences etc.) afin de facilité le travail de tous. Structure qui a un lien étroit avec le SAMU-SAS et toute les autres structures de soins d'urgence pour éviter tout conflit inutile et que chacun trouve ça place, à son niveau.","Service dans lequel les usagers (adulte ou enfant) vienne consulter uniquement pour des motifs urgent (vital ou non - ex: douleur importante) et non des problèmes de médecine générale sans motif d'urgence (ex: renouvellement d'ordonnance), avec du personnel paramédical et médical en nombre, formé spécifiquement à la médecine d'urgence/catastrophe/soins critiques, avec du matériels et des locaux au norme et adapté pour répondre aux besoins des usagers","Service dans lequel il est trié les appel en différentes catégories au regard de l'urgence de la situation et qui oriente correctement les usagers en fonction de la régulation faite, et le cas échéant, coordonne toutes les urgences, du secours à personne ""simple"" au renfort médicalisé important en passant par les interventions SMUR ""classic"".
Le SAMU devait coordonner tout ce qui concerne l'aspect médicale et secourisme en France. Afin d'éviter de ce retrouve avec: SP de l'un et SAMU de l'autre. ","Equipe indissociable répondant à une urgence médicale. Les équipes sont composés en fonction de l'intervention - mettre le bon professionnel au bonne endroit. Exemple : équipe pédiatrique, équipe gynéco/obst., équipe psychiatriques (hors CUMP), équipe paramédical, équipe médicalisé ""classic"". L'infirmier et l'ambulancier sont toujours intégré au équipe, parfois seul ou accompagné du bon professionnel médicale en fonction de la nature de l'intervention.","SAU, SMUR, SAMU-SAS (IDE en régularisation = possible)","Travail en 12h","Rythme que de nuit. Pas d'alternance jour/nuit. Sinon Idem qu'à celui de jour où un peu moins.","Patients de tous age nécessitant une prise en soins rapide pour urgence vital ou tout autres problèmes de santé qui ne peut être différé ou géré par la médecine générale. À précisé que les ""urgences"" en médecine générale existe. Également, les urgences psychiatriques sont ","Soins autrement technique, se rapprochant parfois des soins type réanimation. Tout en oubliant pas les soins relationnel auprès de patient avec des troubles psychiques ou non.","Situation qui ne peut être différé dans l'immédiat ou dans un certain temps donné.","Situation qui se peut d'être différé et pris en soins par des professionnels ne relevant pas de la médecine d'urgence ","Ne sait pas ","7","8","6","7",""
"2025/11/20 3:12:21 PM UTC+1","Oui","Homme","30-40 ans","Praticien non chef de service","10","Centre Hospitalier Universitaire","SAMU-SAS;SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD","Pas d’heures supplémentaires obligatoires et des petites structures à échelle humaine","Solidaire et polyvalente","Solidaire et polyvalent","Un service mélangeant clinique et hôpital pour réguler les patients des régulateurs qui sont aussi aux urgences ","Polyvalent","?","40","1","?","Pas d’UHCD","Un besoin de réponse rapide et adapté et non un palliatif au manque de généraliste ","Rdv possible dans les 48h avec un medecin de ville","?","1","1","0","1",""
"2025/11/20 4:43:44 PM UTC+1","Oui","Homme","20-30 ans","Praticien non chef de service","6","Centre Hospitalier Général","SMUR;Filière médico-chirurgicale;Traumatologie légère;Salle d'accueil des urgences vitales;UHCD;USC (surveillance continue)","Un centre hospitalier dont le fonctionnement est fluide, dans la confiance, à la fois avec les spécialistes d'investigation (radiologues, endoscopistes ...) ainsi qu'avec les médecins responsables des services d'hospitalisation d'aval.","Un bon management est nécessaire, quelque soit la taille du pôle. ","Réguler l'entrée sur des éléments basiques (pas de traumatologie légère à partir de minuit ...).
Faciliter l'aval, notamment la nuit.","Excellente relation entre medecins et ARM.","Toujours la pointe de la médecine moderne. Actuellement, tablette tactile, échographe portable, PLYO ...","Le lieu où on se sent chez soi.","48h par semaine, en 4 plages de 12h ","1 ou 2 maximum","Tous les patients dont les symptômes de la pathologie aiguë ont débuté depuis moins de 24-48h","Tous les soins urgents
Pas de soins non urgents ","Une situation sont la non-prise en charge met en jeu le pronostic vital ou fonctionnel à court terme + la douleur aiguë non soulagée par les antalgiques de palier 1.","Tout le reste.","Les pathologies aiguës qui ne répondent pas à la définition ci-dessus.","5","5","6","8",""
"2025/11/20 5:17:35 PM UTC+1","Oui","Homme","20-30 ans","Interne de médecine d'urgence","0","Centre Hospitalier Universitaire","Traumatologie légère;Salle d'accueil des urgences vitales;Ambulatoire","Moins de patients pour une meilleure prise en charge et plus de contacts avec les patients pour comprendre leur détresse ","Un bon triage à l’entrée aux urgences, des équipes constituées d’un senior, 1 interne, 1 externe si CHU, 1 IDE et 1 AS
Un médecin d’orientation a l’entrée des urgences ","Un service où le temps d’attente est inférieur à 4h et surtout des examens rapides à réaliser notamment les imageries ","Pas fait","Pas fait","Hôpital avec plateau technique","Peut importe tant que les repos de garde sont respectés ","À la volonté de chacun ","Des patients présentant une vraie urgence nécessitant des examens complémentaires à faire rapidement","Soins permettant de soulager le mal être du patient ","Situation nécessitant d’un médecin spécialisé dans l’urgence avec des traitements pour voie veineuse et prise en charge rapide des symptômes ","Douleurs présentes depuis plusieurs jours, des viroses sans détresse majeure, tout ce qui relève de médecine générale ","Situation réalisée de façon involontaire et non voulue par le patient","3","4","8","8","Moins d’ambulatoire et surtout un meilleur triage des patients à l’entrée aux urgences 
Sinon j’adore ma spécialité mais avec un peu plus d’organisation on peut réellement améliorer la prise en charge des patients "
